jurisdiction,iso3,llm_stage1_label,llm_stage1_confidence,llm_stage2_status,llm_stage2_confidence,human_label,human_announcement_date,human_effective_date,human_status,human_source_type,human_source_url,disagreement_status,citation_quality,included_in_causal_analysis,llm_stage2_adoption_timing_text,llm_stage2_tax_text
Iraq,IRQ,Unresolved Status,Low,,,no,,,,primary,https://mofa.gov.iq/visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Ireland,IRL,Unresolved Status,Low,,,no,,,,secondary,https://www.atlashxm.com/resources/Ireland-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Israel,ISR,Unresolved Status,Low,,,no,,,,primary,https://www.tel-aviv.gov.il/en/WorkAndStudy/Pages/Work-Visas.aspx,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Jamaica,JAM,Unresolved Status,Low,,,no,,,,secondary,https://digitalnomadlifestyle.com/the-complete-digital-nomad-guide-to-jamaica-2,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Jordan,JOR,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/jordan,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Kiribati,KIR,Unresolved Status,Low,,,no,,,,primary,https://www.mfa.gov.ki/immigration,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Kuwait,KWT,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/kuwait,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Lao PDR,LAO,Unresolved Status,Low,,,no,,,,secondary,https://www.state.gov/report/custom/5f7f8146b1,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Lebanon,LBN,Unresolved Status,Low,,,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Lesotho,LSO,Unresolved Status,Low,,,no,,,,secondary,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Lithuania,LTU,Unresolved Status,Low,,,no,,,,secondary,https://reliefweb.int/report/ukraine/displacement-integration-and-return-what-remote-work-possibilities-ukrainians,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Luxembourg,LUX,Unresolved Status,Low,,,no,,,,secondary,https://visitworld.today/luxembourg/cameroon-citizenship/work,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Macao SAR, China",MAC,Unresolved Status,Low,,,no,,,,secondary,https://www.deel.com/blog/remote-work-visas,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Madagascar,MDG,Unresolved Status,Low,,,no,,,,secondary,https://vokybe.com/5-considerations-for-remote-work-in-madagascar-a-digital-nomads-guide,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Malawi,MWI,Unresolved Status,Low,,,no,,,,primary,https://www.immigration.gov.mw/visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Maldives,MDV,Unresolved Status,Low,,,no,,,,primary,https://immigration.gov.mv/visa/work-visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Mali,MLI,Unresolved Status,Low,,,no,,,,secondary,https://ml.usembassy.gov/visas,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Marshall Islands,MHL,Unresolved Status,Low,,,no,,,,secondary,https://desinri.com/visa/marshall-islands-work-permit-work-visa-work-requirements-fees-processing-time-how-to-apply,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Mexico,MEX,Unresolved Status,Low,,,no,,,,secondary,https://www.payrollmexico.com/insights/remote-work-visa-regulations-mexico,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Micronesia, Fed. Sts.",FSM,Unresolved Status,Low,,,no,,,,secondary,https://www.pnbimmigrationlawfirm.com/services/work-permit-and-stay-permit/digital-nomad-visa-indonesia,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Monaco,MCO,Unresolved Status,Low,,,no,,,,secondary,https://www.france-immigration.com/en/expert-articles/digital-nomad-visas-the-complete-guide,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Mongolia,MNG,Unresolved Status,Low,,,no,,,,secondary,https://www.wipo.int/edocs/mdocs/mdocs/en/wipo_ip_conv_ge_2_23/wipo_ip_conv_ge_2_23_p2_5.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Morocco,MAR,Unresolved Status,Low,,,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Mozambique,MOZ,Unresolved Status,Low,,,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Myanmar,MMR,Unresolved Status,Low,,,no,,,,primary,https://myanmarcgla.org/index.php/visa/e-visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Nauru,NRU,Unresolved Status,Low,,,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC8881073,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
New Caledonia,NCL,Unresolved Status,Low,,,no,,,,secondary,https://travel.state.gov/en/international-travel/travel-advisories.html,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Nicaragua,NIC,Unresolved Status,Low,,,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11387329,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Niger,NER,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/niger,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Nigeria,NGA,Unresolved Status,Low,,,no,,,,primary,https://immigration.gov.ng/nigerian-visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
North Macedonia,MKD,Unresolved Status,Low,,,no,,,,secondary,https://www.iom.int/sites/g/files/tmzbdl486/files/documents/2023-09/pub2023-048-el-mgi-montenegro.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Northern Mariana Islands,MNP,Unresolved Status,Low,,,no,,,,primary,https://www.uscis.gov/laws-and-policy/other-resources/us-immigration-law-in-the-commonwealth-of-the-northern-mariana-islands-cnmi,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Norway,NOR,Unresolved Status,Low,,,no,,,,secondary,https://www.udi.no/en/word-definitions/remote-work-in-norway,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Oman,OMN,Unresolved Status,Low,,,no,,,,secondary,https://mena.iom.int/sites/g/files/tmzbdl686/files/documents/2024-05/pub2023-047-l-world-migration-report-2024_1.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Pakistan,PAK,Unresolved Status,Low,,,no,,,,primary,http://invest.gov.pk/work-visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Palau,PLW,Unresolved Status,Low,,,no,,,,secondary,https://www.uscis.gov/i-9-central/completing-form-i-9/federated-states-of-micronesia-republic-of-the-marshall-islands-and-palau,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Papua New Guinea,PNG,Unresolved Status,Low,,,no,,,,primary,https://ica.gov.pg/visa/specialise/special-exemption-visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Paraguay,PRY,Unresolved Status,Low,,,no,,,,secondary,https://expatsettle.com/digital-nomad-visa-paraguay,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Peru,PER,Unresolved Status,Low,,,no,11/14/23,,Announced in legislation but inactive in practice (not added to TUPA procedures manual),secondary,https://www.fragomen.com/insights/peru-new-law-introduces-digital-nomad-visa-shorter-validity-of-local-identification-cards-among-other-changes.html,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Poland,POL,Unresolved Status,Low,,,no,,,,secondary,https://www.immigration-poland.com/poland-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Qatar,QAT,Unresolved Status,Low,,,no,,,,secondary,https://tripplugin.com/digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Russian Federation,RUS,Unresolved Status,Low,,,no,,,,secondary,https://lawyersrussia.com/digital-nomad-visa-for-russia,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Rwanda,RWA,Unresolved Status,Low,,,no,,,,primary,https://www.migration.gov.rw/visa/visitors-visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Samoa,WSM,Unresolved Status,Low,,,no,,,,primary,https://www.mfat.gov.ws/visas,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
San Marino,SMR,Unresolved Status,Low,,,no,,,,secondary,https://consnewyork.esteri.it/en/servizi-consulari-e-visti/servizi-per-il-cittadino-straniero/visti/visas-to-enter-italy/digital-nomad-remote-worker-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Sao Tome and Principe,STP,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/sao-tome-principe,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Saudi Arabia,SAU,Unresolved Status,Low,,,no,,,,secondary,https://www.linkedin.com/pulse/digital-nomad-visa-saudi-arabia-amin-el-saghir-9toif,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Senegal,SEN,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/senegal,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Serbia,SRB,Unresolved Status,Low,,,no,,,,secondary,https://lawyerserbia.com/en/serbia-digital-nomad,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Seychelles,SYC,Unresolved Status,Low,,,no,,,,primary,https://digitalnomads.world/visas/seychelles,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Sierra Leone,SLE,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/sierra-leone,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Singapore,SGP,Unresolved Status,Low,,,no,,,,secondary,https://moveandstay.com/blog/does-singapore-offer-a-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Slovak Republic,SVK,Unresolved Status,Low,,,no,,,,secondary,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/employed-worker-slovakia_en,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Solomon Islands,SLB,Unresolved Status,Low,,,no,,,,secondary,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
St. Kitts and Nevis,KNA,Unresolved Status,Low,,,no,,,,secondary,https://unfccc.int/sites/default/files/resource/COVID-19_POLICY%20BRIEF%20July%202021_Part%20B_compressed.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
St. Vincent and the Grenadines,VCT,Unresolved Status,Low,,,no,,,,secondary,https://unfccc.int/sites/default/files/resource/COVID-19_POLICY%20BRIEF%20July%202021_Part%20B_compressed.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Sudan,SDN,Unresolved Status,Low,,,no,,,,secondary,https://www.govinfo.gov/content/pkg/CPRT-111WPRT63131/pdf/CPRT-111WPRT63131.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Suriname,SUR,Unresolved Status,Low,,,no,,,,primary,https://gov.sr/wp-content/uploads/2025/07/IOM_GuideForImmigrants_A4_48p_v3_2025_03_P-web2.pdf,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Sweden,SWE,Unresolved Status,Low,,,no,,,,secondary,https://european-union.europa.eu/principles-countries-history/eu-countries/sweden_en,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Switzerland,CHE,Unresolved Status,Low,,,no,,,,secondary,https://citizenremote.com/visas/switzerland-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Syrian Arab Republic,SYR,Unresolved Status,Low,,,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Tajikistan,TJK,Unresolved Status,Low,,,no,,,,secondary,https://www.stampednomad.com/guides/tajikistan,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Tanzania,TZA,Unresolved Status,Low,,,no,,,,primary,https://eservices.immigration.go.tz/online/web/permit/guidelines,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Timor-Leste,TLS,Unresolved Status,Low,,,no,,,,secondary,https://rivermate.com/guides/timor-leste/work-permits-and-visas,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Togo,TGO,Unresolved Status,Low,,,no,,,,secondary,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Tonga,TON,Unresolved Status,Low,,,no,,,,primary,https://www.revenue.gov.to/immigration-and-general-services,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Trinidad and Tobago,TTO,Unresolved Status,Low,,,no,,,,primary,https://foreign.gov.tt/services/visas,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Tunisia,TUN,Unresolved Status,Low,,,no,,,,secondary,https://www.thetunisiaguide.com/travel-info/digital-nomad-visa-tunisia,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Tuvalu,TUV,Unresolved Status,Low,,,no,,,,secondary,https://www.deel.com/blog/remote-work-visas,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Uganda,UGA,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/uganda,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Ukraine,UKR,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/ukraine,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
United Kingdom,GBR,Unresolved Status,Low,,,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
United States,USA,Unresolved Status,Low,,,no,,,,secondary,https://leglobal.law/countries/usa/usa-remote-work-faq,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Uzbekistan,UZB,Unresolved Status,Low,,,no,,,,secondary,https://kyrgyzstan.iom.int/resources/understanding-pre-departure-information-ecosystem-kazakhstan-kyrgyzstan-tajikistan-and-uzbekistan,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Vanuatu,VUT,Unresolved Status,Low,,,no,,,,secondary,https://immigration.gov.vu/work,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Venezuela, RB",VEN,Unresolved Status,Low,,,no,,,,secondary,https://www.envoyglobal.com/news-alert/venezuela-implements-digital-visa-application-system-for-business-travel,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Vietnam,VNM,Unresolved Status,Low,,,no,,,,secondary,https://evolvecoliving.io/vietnam-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Zambia,ZMB,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/zambia,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Zimbabwe,ZWE,Unresolved Status,Low,,,no,,,,secondary,https://www.mohcc.gov.zw?p=5634,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
